from_address,to_address,value_eth,timestamp,block_number,root_address,label
0xfb970596b5535665bb977fe7c2ffe3f7e0873d07,0x0c605f1789287196a4d468f9503006d47cb8e808,0.09,1672759223,16327114,0xfb970596b5535665bb977fe7c2ffe3f7e0873d07,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x90a484ee631aa0ab5bcfe62ed08df3678ed78c58,0.04,1672781171,16328934,0x90a484ee631aa0ab5bcfe62ed08df3678ed78c58,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x90a484ee631aa0ab5bcfe62ed08df3678ed78c58,0.006,1741533575,22010161,0x90a484ee631aa0ab5bcfe62ed08df3678ed78c58,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x90a484ee631aa0ab5bcfe62ed08df3678ed78c58,0.001,1752502031,22917907,0x90a484ee631aa0ab5bcfe62ed08df3678ed78c58,legitimate
0x90a484ee631aa0ab5bcfe62ed08df3678ed78c58,0x0c605f1789287196a4d468f9503006d47cb8e808,0.0003660378812565,1753133939,22970302,0x90a484ee631aa0ab5bcfe62ed08df3678ed78c58,legitimate
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,0x0c605f1789287196a4d468f9503006d47cb8e808,0.64073067,1672752227,16326534,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.003,1672753859,16326670,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.01,1672754363,16326712,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.01,1672754387,16326714,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x72deb2150845d33b804474ae5512969968099fc7,0.1,1672754855,16326753,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x39d21a839894381f78021152afd31b2f1854ebf3,0x0c605f1789287196a4d468f9503006d47cb8e808,0.098,1672759139,16327107,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x72deb2150845d33b804474ae5512969968099fc7,0x0c605f1789287196a4d468f9503006d47cb8e808,0.098,1672759151,16327108,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x78daaaacd15c8eb96704e2d1aa57c9a37e638ff3,0x0c605f1789287196a4d468f9503006d47cb8e808,0.07,1672759187,16327111,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0xec606649717f28fba63eef5f61bd375f970afbb1,0x0c605f1789287196a4d468f9503006d47cb8e808,0.1,1672759199,16327112,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0xfb970596b5535665bb977fe7c2ffe3f7e0873d07,0x0c605f1789287196a4d468f9503006d47cb8e808,0.09,1672759223,16327114,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.9,1672759451,16327133,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.015,1672772111,16328182,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x3d9fffec81bcdc16e33d3688b1b7eabe54c717d0,0.0,1672780547,16328882,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.0,1672780571,16328884,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.25,1672780727,16328897,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0xec606649717f28fba63eef5f61bd375f970afbb1,0.35,1672780787,16328902,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x90a484ee631aa0ab5bcfe62ed08df3678ed78c58,0.04,1672781171,16328934,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,0x0c605f1789287196a4d468f9503006d47cb8e808,0.30927513,1672801511,16330621,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.3,1672801847,16330649,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x5cb60103d4654b22df28fa7e0b2aa2a2f2c2fea8,0.0,1672824131,16332499,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.0,1672824191,16332504,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.0,1672825679,16332628,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0xfdfff4d6b0def8f4b558d858470b64104b4c3889,0.658485237688098,1672827683,16332792,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0xb9f775179bcc7fcf4534700a48f09c590e390ead,0x0c605f1789287196a4d468f9503006d47cb8e808,0.94657321,1696880603,18315072,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
0x0c605f1789287196a4d468f9503006d47cb8e808,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0.93,1696885631,18315486,0x0c605f1789287196a4d468f9503006d47cb8e808,legitimate
