eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,in_degree,out_degree,sent_received_ratio,address,account_age_days,avg_time_diff_hours,avg_tx_value,std_dev_tx_value
4.289000000000001,0.0,2,0,2,0,1,4289000.000000001,0x962086e1e1058f37b3c45d88cad76afa6bc8455d,0.002511574074074074,0.06027777777777778,2.1445000000000003,2.906915977457897
1.9,0.0,1,0,1,0,1,1900000.0,0x877ab5eb164bf6d503f45cd422d940f6c1798ad0,0.0,0.0,1.9,0.0
2.6,0.0,1,0,1,0,1,2600000.0,0xeac6803ce94afe201e5567b902815ed44fee7e6d,0.0,0.0,2.6,0.0
4.5,0.0,1,0,1,0,1,4500000.0,0x2e37556a383c35cb9788026cc135b9277994041c,0.0,0.0,4.5,0.0
4.0,0.0,1,0,1,0,1,4000000.0,0x001a08b8b5c4e41fba84f963feee4a6d15528b3e,0.0,0.0,4.0,0.0
3.5,0.0,1,0,1,0,1,3500000.0,0x49022c547140962a9d897a373db90995e5170bad,0.0,0.0,3.5,0.0
4.4,0.0,1,0,1,0,1,4400000.000000001,0xb8aeb91d7c17b7c0acf3a4775de02b9eb3d04c5c,0.0,0.0,4.4,0.0
2.73,0.0,1,0,1,0,1,2730000.0,0x44d9c742b8dbdb79b3892b454cc8cf5f7d929e88,0.0,0.0,2.73,0.0
4.1,0.0,1,0,1,0,1,4100000.0,0x96f57b3b2aee2f15198cc2862d17eb32591c0208,0.0,0.0,4.1,0.0
1.0,0.0,1,0,1,0,1,1000000.0,0x0aa3a0ddc82af4c06c0bc4c8acc6a9a9a6280672,0.0,0.0,1.0,0.0
7.9668977729999995,0.0,2,0,2,0,1,7966897.773,0xd6e5b7b6c678fb6f845ed33fc36f45dff01bb39b,0.0021527777777777778,0.051666666666666666,3.9834488864999997,0.023406809184076494
2.5,0.0,1,0,1,0,1,2500000.0,0xf96dee6569f6ac359669d51179d2e6094b5a84eb,0.0,0.0,2.5,0.0
4.0,0.0,1,0,1,0,1,4000000.0,0x5603e9dc6ec55409f4c77ba0a597dd6de9eeab68,0.0,0.0,4.0,0.0
0.41203191,0.0,1,0,1,0,1,412031.91000000003,0xb45c02a0852b52cba8f42cb9a7011dadfeaa03fa,0.0,0.0,0.41203191,0.0
0.8,0.0,2,0,2,0,1,800000.0000000001,0x8a6494a5737abcde00a5e8cebb96cf6fa71f3cfc,0.03025462962962963,0.7261111111111112,0.4,0.5656854249492381
4.0,0.0,1,0,1,0,1,4000000.0,0x0673e9b46da3509da066af87d5f2094b3f4f3126,0.0,0.0,4.0,0.0
1.0,0.0,1,0,1,0,1,1000000.0,0x9c9e38f00d8acddfa79f0225cb8faa2c58107f83,0.0,0.0,1.0,0.0
2.75,0.0,1,0,1,0,1,2750000.0,0xbfa26685687f79811158a3d7f497f1e11f3a265e,0.0,0.0,2.75,0.0
0.35,0.0,1,0,1,0,1,350000.0,0x1d9d8759ea2c00809bcddee501264cc5fa72e0ac,0.0,0.0,0.35,0.0
1.0,0.0,1,0,1,0,1,1000000.0,0xf65330d04f5000823d0bc6a4f7048457b4ecd1dd,0.0,0.0,1.0,0.0
1.0,0.0,1,0,1,0,1,1000000.0,0xb3d797c71214f19416f2168a9b3c55e3de89e3ad,0.0,0.0,1.0,0.0
0.0,0.0,1,0,1,0,1,0.0,0xa332a5b3d8bb30a337a0269ccad2230bd02cb742,0.0,0.0,0.0,0.0
0.11,0.0,1,0,1,0,1,110000.0,0x9bf2ff08b372261c0dfd13c766ba1ff57550d6a2,0.0,0.0,0.11,0.0
0.302,0.0,1,0,1,0,1,302000.0,0x74d44510bb38d222b0cd788534cdd4affa3772b5,0.0,0.0,0.302,0.0
0.12,0.0,1,0,1,0,1,120000.0,0xa3ff03ab8a23878c8b5d569ae4b951e5c0378663,0.0,0.0,0.12,0.0
3.0,0.0,1,0,1,0,1,3000000.0,0x32cdb68107cf917279a9c1314894b7e6b7d7cde7,0.0,0.0,3.0,0.0
1.0,0.0,1,0,1,0,1,1000000.0,0xb8f8cef016ef22dac0f54d5694c51c6cdbc03dfd,0.0,0.0,1.0,0.0
3.0,0.0,1,0,1,0,1,3000000.0,0x44183db3008c2a7c655fd7831b80aa5b54c3ef67,0.0,0.0,3.0,0.0
3.8,0.0,1,0,1,0,1,3800000.0,0x0f966c6dc73814813091455508d63f6f28f22d51,0.0,0.0,3.8,0.0
3.5,0.0,1,0,1,0,1,3500000.0,0x9df8f2b735b185f7ee56d48a71355bae1980de27,0.0,0.0,3.5,0.0
6.0,0.0,1,0,1,0,1,6000000.0,0x25b5a5502a77247281c1ccfe6438003f0001df4d,0.0,0.0,6.0,0.0
0.13743196984960798,0.0,2,0,2,0,1,137431.969849608,0xfde8543ca6e8c9a469d889d5760f8b68588afc46,0.002800925925925926,0.06722222222222222,0.06871598492480399,6.435882596690516e-05
4.16,0.0,1,0,1,0,1,4160000.0000000005,0x00bc7d1910bc4424aed7eddf5e5a008931625c28,0.0,0.0,4.16,0.0
0.2,0.0,1,0,1,0,1,200000.00000000003,0xd15b3b34522625c5846b0374bf72dd07d9a9e6e7,0.0,0.0,0.2,0.0
0.073,0.0,1,0,1,0,1,73000.0,0x91a908b6c9052df4b63ffe1143297d0606849771,0.0,0.0,0.073,0.0
84.1990806528496,84.2003616528496,2,39,41,35,2,0.9999847744123707,0x0d9786138578fcdcce04435592545ef08422d755,27.07702546296296,16.24621527777778,4.107303470870713,10.040706403570724
0.0,21.15,0,1,1,1,0,0.0,0xfc84deb9528dd5ba4571679d6e4e5d4682205edf,0.0,0.0,21.15,0.0
0.0,63.04908065284961,0,1,1,1,0,0.0,0xf88e7a7d1264dc91b1bc2e3eabdd5bbc44454078,0.0,0.0,63.04908065284961,0.0
