from_address,to_address,value_eth,timestamp,block_number,root_address,label
0xb23360ccdd9ed1b15d45e5d3824bb409c8d7c460,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.00041856,1735176647,21483372,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,1735177067,21483407,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.2,1747201235,22479398,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.08,1748623679,22596841,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.03,1748697659,22602972,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.16,1748698595,22603050,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.03,1748698595,22603050,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.04,1748703359,22603439,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.041,1748728955,22605556,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.04,1748776655,22609502,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0xc94ebb328ac25b95db0e0aa968371885fa516215,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.039615568675294,1748802875,22611666,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.07,1748968367,22625341,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,0.06,1748974799,22625875,0x23a29748dcbadf176ff2d45ce2dfa4fde2d6b06e,legitimate
