eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
588.1821372030307,196.08670699999996,57,21,78,0x36db23fd8e0fabb300ba95bfdf4a0f20b05eebfb
428.55772806479644,333.65805935106783,53,31,84,0x42c5459911ae51d1d005cbe39749bd8d8e533c22
554.7882656723056,553.5983044888704,78,54,132,0x66817272d39da7fd4c552f430fc0b694e357c157
1.5,0.0,1,0,1,0x6637dd02d4dc38e0e2cd11820c9dcd4b47bba59f
0.99,0.0,1,0,1,0xe61a935efa29e823cab1b354758129156453c605
1.0,0.0,1,0,1,0x0984fed5e797f51710b5db87c454c96c1a8bda41
1.0,0.0,1,0,1,0x2a25c28cc702c9d791527ce00b36189bc9115b60
3.0,0.0,1,0,1,0xd28028d44cb53e892e36a949abdeefd53d8067d6
50.0,0.0,1,0,1,0x438ccbd79f20c1e68b828211ec2ba30c0ec9c05a
100.0,0.0,1,0,1,0x5ae21744b0b09ae6c302302f8ef289375aaa8389
3.0,0.0,1,0,1,0x1dc71339b84f5ea442b9435f7aca8e4b450b599e
33.0,0.0,1,0,1,0x0028f090e73e124116d08fa9a53c9781d99284f0
0.2,0.0,1,0,1,0xc0f26bc4b8f6775d70be450586178c4002f7e114
1.0,0.0,1,0,1,0xa55c743a5f699ae80881ad8a276dad2b718fd657
0.17,0.0,1,0,1,0xed43b4a63d6c89dfb3d95c4709216a651398a1a9
0.682,146.27955955271023,3,4,7,0xb867cb709526099091585f0a4859b5b788d47532
0.044707,0.1,1,1,2,0xad81e0ebe43c07577887583c3ca64f3dbaeb3808
708.824,706.1331919712579,76,45,121,0x8e6be4cc78557cf3087b15963bf7139b0154e0e0
0.0,194.68,0,2,2,0x09a94786e223c84368757ae27238152a7212e6a6
0.0,0.0,0,0,0,
0.0,0.248305,0,29,29,0xa46847df9032d0abe4156bc56f3eb9188a2bd40a
0.0,0.0,0,2,2,0x470c56ac64243b7b3033f3862dbfdd26ac118c67
0.0,0.02,0,4,4,0x756c96f0922522dc2d62591c990dac38a83599c2
0.0,401.1,0,4,4,0xf8e6b927cc30d844e244a6f2afddacccb1a5813a
0.0,0.1,0,1,1,0xc5ae6b328002ce98a20703515878620e738533b0
0.0,0.05,0,1,1,0xf74dcdc46c41bc8c7bc6ce3ab92925aa0fd4fe05
0.0,0.0563864397777,0,1,1,0x08998390a17d79bbae536d9f105a9639e4311ecf
