eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
0.0,0.0,262,0,262,0xf24246e0d5399ea85dbdadcfdbc9e8f14490db58
0.0,0.0,56,0,56,0xe955fcb527fce15b520df47e8a962a09db792535
0.0,0.0,1,0,1,0x3d2f20127143917fc7abdf310f6c93d9e6af5162
0.0,0.0,2,0,2,0x5a81313668fe9591d226860bba79afc04919eb73
0.0,0.0,1,0,1,0x0c2daac503994d386823a1b84eac83da9191cb66
0.0,0.0,1,0,1,0xbbbda47c935cf767286c8bb4006c5f426cd7e6a1
0.0,0.0,1,0,1,0xd016836e54a1a36b663a689453fdb558c6032516
0.0,0.0,146,0,146,0xaa00438e14965a642532f1ff659b87e07dde64fc
0.0,0.0,1,0,1,0xe4211af83b1d202916e6172a662685ddd6ac3e83
0.0,0.0,1,0,1,0xf48fa5b2e62ae69cd96f83e08d528887d587cc1a
0.0,0.0,1,0,1,0x307247623a7cd57583e02686f0990b0ffdcf60ba
0.0,0.0,1,0,1,0xbceb22a26b1518e47eca45600cde20151ba0b3b4
0.0,0.0,1,0,1,0x8186f32eacf98e8b7914b1148a2c638bcf094570
0.0,0.0,12,0,12,0x91b3192ee8a685eb3fcda4056ab97609ccc901d7
0.0,0.0,1,0,1,0x18700dca810bdae5d200fdcc8af1537c51d62b25
0.0,0.0,3,0,3,0x31125bf3758ac00d1c589ca4529043bf33ec48e5
0.0,0.0,0,31,31,0x38c36d3faab64c0770af26cc6ee95d91312bc53c
