from_address,to_address,value_eth,timestamp,block_number,root_address,label
0x18345118bd04c405b4d74941563a21b5a2bf06b7,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,5000.0,1500520848,4046725,0x18345118bd04c405b4d74941563a21b5a2bf06b7,phishing
0x474aa9c6f46dc6379c638690fd8f5ade22df5205,0x18345118bd04c405b4d74941563a21b5a2bf06b7,4399.996,1500565300,4049061,0x18345118bd04c405b4d74941563a21b5a2bf06b7,phishing
0x474aa9c6f46dc6379c638690fd8f5ade22df5205,0x18345118bd04c405b4d74941563a21b5a2bf06b7,600.0,1500565401,4049067,0x18345118bd04c405b4d74941563a21b5a2bf06b7,phishing
0x18345118bd04c405b4d74941563a21b5a2bf06b7,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,5000.0,1500520848,4046725,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,phishing
0x474aa9c6f46dc6379c638690fd8f5ade22df5205,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,4999.99937,1500520978,4046733,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,phishing
0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,4999.99937,1500564807,4049033,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,phishing
0x474aa9c6f46dc6379c638690fd8f5ade22df5205,0x18345118bd04c405b4d74941563a21b5a2bf06b7,4399.996,1500565300,4049061,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,phishing
0x474aa9c6f46dc6379c638690fd8f5ade22df5205,0x18345118bd04c405b4d74941563a21b5a2bf06b7,600.0,1500565401,4049067,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,phishing
0x474aa9c6f46dc6379c638690fd8f5ade22df5205,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0.0013,1511995777,4646484,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,phishing
0x474aa9c6f46dc6379c638690fd8f5ade22df5205,0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0.000495,1514034531,4782712,0x474aa9c6f46dc6379c638690fd8f5ade22df5205,phishing
