eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
0.1406841752812276,0.0,1,0,1,0x75aa58bee134d2b856f242993cccf95049865900
0.049044,0.1406841752812276,50,1,51,0x4802afbc094892de24b609d18d2d82a874cce64b
0.0,0.0,0,0,0,
0.0,0.0,0,23,23,0x968706ce7bd963c1096b3aff5054c92ac889fc11
0.0,0.019689,0,1,1,0xe88376f6ce2f8536f1c2a0defcfc30d0086992eb
0.0,0.0,0,7,7,0x383d0dee87ff52d27344a4d5809c2e5b64b0fafb
0.0,0.007512,0,1,1,0x00879aed944fd129d969af27af00b810d8163acc
0.0,0.003363,0,1,1,0xb288821aff795d1bca712464553e3587a204a698
0.0,0.005038,0,1,1,0x03dfab286dd8e6a978a9cce28212c0fcee7a589c
0.0,0.002801,0,1,1,0xc84c93806b25f71482e3613a5eda889526fe920b
0.0,0.002636,0,1,1,0x51766f1bfc23f44d2d103c59d566b46922658031
0.0,0.0,0,1,1,0x8ea6ed614e6172b9baf89716855010e4415616ea
0.0,0.0,0,2,2,0x25548ba29a0071f30e4bdcd98ea72f79341b07a1
0.0,0.0,0,2,2,0x515119c943761c9046ab4073ca04a7bf979c71e0
0.0,0.0,0,2,2,0xa5796fc3370a839ad7137049e331b981a4420df4
0.0,0.005251,0,1,1,0x9d4bc459c188812dc300012f069b4623a87d7e0c
0.0,0.002754,0,1,1,0x1a234c9d2d36c3067ca4764cbf9d7575507baba9
