eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
0.0108846273329211,0.0,1,0,1,0x50e06f7f4be28ac9417c0b384129e41323072647
12.198679148314397,4.880504871077189,26,7,33,0x4809d95b64af50a26b1be87e4c9e00b6cb4a07a8
0.003820243744268,0.0,1,0,1,0xf6bb6ba01d04c0b1a07b08b3e8efbcfbe3bd5a9d
0.47679999999999995,0.0,2,0,2,0xf4f8743d35077be7459eb5d7ef20db57de579192
2.0799999999999996,0.0571,2,1,3,0x6109b4551ce8b670a7d23e88afdfd1dabd0a7ffb
2.309,0.0234975024329344,1,1,2,0xb9012563c63a63abf05f1f69cc4bc62f6de2da75
0.0,0.0,0,2,2,0x0f7dc5d02cc1e1f5ee47854d534d332a1081ccc8
0.0,71.69771557070139,0,931,931,0x0000000000001ff3684f28c67538d4d072c22734
0.0,129.6778677068854,0,469,469,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae
0.0,0.14,0,15,15,0x1a92f7381b9f03921564a437210bb9396471050c
0.0,111.88569603223301,0,972,972,0x0000000000000068f116a894984e2db1123eb395
0.0,342.2253157085877,0,1408,1408,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0.0,0.0085816458814612,0,1,1,0x4cdac1bf1b1c1317aafa6ae47660a29aa747b2cc
0.0,32.14319097160887,0,63,63,0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251
0.0,0.0,0,5741,5741,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
