eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
130020.0,0.22322353251426302,20,112,132,0xb3764761e297d6f121e79c32a65829cd1ddb4d32
910.3369720000001,20000.0,11,27,38,0x4de76b3dfd38292ba71cf2465ca3a1d526dcb567
1.822e-15,0.0,2,0,2,0x33538b3808aa60f88d9564bc93e2f70b51e79a55
0.0,0.0,8,0,8,0xd690758a425ed7b2e3a225c2b40bc65300c67d4f
0.0,0.0,187,0,187,0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a
0.0,0.0,2,0,2,0x8884fa4a75b5eba1a117d38e8968da3f1645e2b8
0.0,50.0,0,1,1,0x42a9c20b781b10a4c3bd3c81570672afa6e41687
0.0,50.0,0,1,1,0x2ebfc448b7777c5ef74ab13fa985db8270e9073c
0.0,100.0,0,1,1,0x2027cd5fb86a73c68775a366d1c2d9e8fe029483
0.0,100.0,0,1,1,0xdefe04d68fb53ff24c49ffb9f74d0fc95a8688ce
0.0,100.0,0,1,1,0xea0743c4a41dd43f01240db90ee3d8dbdfdb3b9b
0.0,73.0,0,1,1,0x6ce3d238615beff96d0ca1047ca32174cdf5094f
0.0,1091.941335759052,0,5480,5480,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0.0,0.0,0,2,2,0xe4b679400f0f267212d5d812b95f58c83243ee71
