eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,in_degree,out_degree,sent_received_ratio,address,account_age_days,avg_time_diff_hours,avg_tx_value,std_dev_tx_value
0.02,0.0,2,0,2,0,1,20000.0,0x61eb9712d2d2a24135c649618d705f73e64d315f,0.0042361111111111115,0.10166666666666667,0.01,0.01414213562373095
0.14,0.0,5,0,5,0,3,140000.00000000003,0x65f53b9d60c2c97f11bb5544b5897f3e6512932c,5.263576388888889,31.581458333333334,0.028000000000000004,0.04024922359499621
0.0205,0.0,1,0,1,0,1,20500.0,0xcf6c06b9652d6b8269d43e9fc2a0769f4df7f22d,0.0,0.0,0.0205,0.0
0.164,0.0,1,0,1,0,1,164000.0,0x315b631814aa1e324f0ee0ab16738398ffe49277,0.0,0.0,0.164,0.0
0.013649,0.0,1,0,1,0,1,13649.0,0x5bf7c4c57c6aa86e9381fc8204a71e627af3cf30,0.0,0.0,0.013649,0.0
1.18548684,0.0,1,0,1,0,1,1185486.84,0x6a4003345b0a6d58d483b98f6ad8e38a2301ef99,0.0,0.0,1.18548684,0.0
2.0,0.0,1,0,1,0,1,2000000.0,0xef19dd0c7acfb14f12344d8de175f782c2399bda,0.0,0.0,2.0,0.0
0.99,0.0,1,0,1,0,1,990000.0,0x5c5055c902a46183cf0962a4ebd4686497ce3a4a,0.0,0.0,0.99,0.0
0.99,0.0,1,0,1,0,1,990000.0,0x7c08e5e2f2598e979cb244466b316f03e79fb970,0.0,0.0,0.99,0.0
2.75,0.0,2,0,2,0,1,2750000.0,0x5858cb81a7fda0b930a4e36b938a164221622556,0.006666666666666667,0.16,1.375,1.590990257669732
0.05,0.0,1,0,1,0,1,50000.00000000001,0xad7ce883f595b50bac646b6af2fbaab228908293,0.0,0.0,0.05,0.0
1.0,0.0,1,0,1,0,1,1000000.0,0x32ef3d8238bcf7970f3248dd9476a7a2df53ee4f,0.0,0.0,1.0,0.0
2.0,0.0,1,0,1,0,1,2000000.0,0xd77273a62bcb6d1188f5ce36f30bd65d1ed55ea6,0.0,0.0,2.0,0.0
0.496666145,0.0,1,0,1,0,1,496666.145,0x4d43651639e7160e1dfd82869d3c997492c85c90,0.0,0.0,0.496666145,0.0
0.03,0.0,1,0,1,0,1,30000.0,0x5e7c9ab144af80790cec19894456c2120858e90e,0.0,0.0,0.03,0.0
0.2,0.0,1,0,1,0,1,200000.00000000003,0x48bd59531e0ad74630cc82a813c2120abf7647ff,0.0,0.0,0.2,0.0
0.0,11.930301984999998,0,18,18,16,0,0.0,0x57d02550f47dd932d2fb84e0aa883c9d8d53c313,2.2830439814814816,3.2231209150326796,0.6627945547222222,0.8076443473516278
