eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
4.55626972549847,0.0187634938151095,30,1,31,0x5af2755f422829f06717c192f57954ac9db371c4
0.0187634938151095,0.0058295641675163,1,1,2,0x09a4e788b871c14fb6da7947555d1c14893f1064
0.0,383.1798895123511,0,2075,2075,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
0.0,0.0,0,3,3,0xf8ea18ca502de3ffaa9b8ed95a21878ee41a2f4a
0.0,44.99722094325196,0,100,100,0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5
0.0,0.0,0,5741,5741,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0.0,0.0266560332482179,0,4,4,0x1999cacf9ae8308d1dd7a77a0e660efc538224b1
0.0,0.0,0,2,2,0x4e9623b7e5b6438542458f5ee828d65c24d3af8c
0.0,0.0,0,1,1,0x5bbbf77770128bbe9c1ef5d9179dd7ab11c4b1a8
0.0,0.0030440415668581,0,1,1,0x106ec7c25d52b03c7b9a9c3e2bff79e504de0942
