eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,in_degree,out_degree,sent_received_ratio,address,account_age_days,avg_time_diff_hours,avg_tx_value,std_dev_tx_value
0.4,0.0,1,0,1,0,1,400000.00000000006,0x6c2a418fc173cae853503d8093c2fd49f0cf7e6b,0.0,0.0,0.4,0.0
0.4,0.0,1,0,1,0,1,400000.00000000006,0xe747fddb45dfe4570128d2c4358515b335d01a7d,0.0,0.0,0.4,0.0
1.0,0.0,1,0,1,0,1,1000000.0,0x4cc41d207fe8f9231424d109d177376c9e007b03,0.0,0.0,1.0,0.0
1.3,0.0,1,0,1,0,1,1300000.0,0xc5aba6502e9cad1f739e890e5e3e697899d95249,0.0,0.0,1.3,0.0
0.5,0.0,1,0,1,0,1,500000.0,0x6a06574ec4738ce3b96b7231c634ce3427423eaa,0.0,0.0,0.5,0.0
1.03,0.0,2,0,2,0,1,1030000.0000000001,0xadb0ac110670ba41d7979f3974538ace272e892d,0.001712962962962963,0.04111111111111111,0.515,0.1626345596729059
0.4,0.0,1,0,1,0,1,400000.00000000006,0x652aefadb6dab3347759121b12432f9984f8acd7,0.0,0.0,0.4,0.0
0.35,0.0,1,0,1,0,1,350000.0,0xebb58b4de7b7a91fff18e18773a5c226cc807fa4,0.0,0.0,0.35,0.0
0.97,0.0,1,0,1,0,1,970000.0,0xf818fee0c88f0e88e727ae1f01f10343c751f78a,0.0,0.0,0.97,0.0
3.0,0.0,2,0,2,0,1,3000000.0,0xf126999dff85d8cce2138a53adc59c6fbf22563c,0.002916666666666667,0.07,1.5,2.1213203435596424
0.4,0.0,1,0,1,0,1,400000.00000000006,0xa66ddd7eeb033153b3fbbabe4fcd0c89fd38a88d,0.0,0.0,0.4,0.0
0.2,0.0,1,0,1,0,1,200000.00000000003,0xeb45c8c91c01009e95bb2b5ffb96dbd91929a814,0.0,0.0,0.2,0.0
0.4,0.0,1,0,1,0,1,400000.00000000006,0xe5af1787164f640e0b1fa0ae752622e44119142f,0.0,0.0,0.4,0.0
0.4,0.0,1,0,1,0,1,400000.00000000006,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0.0,0.0,0.4,0.0
0.242,0.0,1,0,1,0,1,242000.0,0x0239e0781c2feeceed59b26eabf339186349d149,0.0,0.0,0.242,0.0
1.2000000000000002,0.0,3,0,3,0,1,1200000.0000000002,0xcaec449330d9f0ba7f510f6e574e8401879447ea,0.0022800925925925927,0.02736111111111111,0.4000000000000001,6.798699777552591e-17
0.11,0.0,1,0,1,0,1,110000.0,0xd640e6fb61a50d07cc31a45c5160aad0b693f20c,0.0,0.0,0.11,0.0
1.4,0.0,2,0,2,0,1,1400000.0,0xba6325e9c86d3d49b50c422cf46b2ed0e12ef0dc,0.006527777777777778,0.15666666666666668,0.7,0.4242640687119285
1.2,0.0,1,0,1,0,1,1200000.0,0x2d50bc455b71d9432a1c0182c9c77122fb8317d4,0.0,0.0,1.2,0.0
0.37249371,0.0,1,0,1,0,1,372493.71,0xdf572e905e2730efdbfb8d11829571d3a516acd3,0.0,0.0,0.37249371,0.0
0.36822792,0.0,1,0,1,0,1,368227.92,0xd1df10177e143dd92de3b17932fee866fb430e02,0.0,0.0,0.36822792,0.0
0.6211151100000001,0.0,2,0,2,0,1,621115.1100000001,0x48152ead6d52823627cd0a4757d813ad9a57f5ad,0.0013194444444444445,0.03166666666666667,0.31055755500000004,0.1563519937038094
8.24,0.0,4,0,4,0,1,8240000.000000001,0xd65a3539454a671afafe31bce4cdecd9a45a992a,0.019699074074074074,0.1575925925925926,2.06,0.4192055979269997
0.13,0.0,1,0,1,0,1,130000.00000000001,0x2b9840f282f167e8e8b0ed8c2938dcaa1006c5d4,0.0,0.0,0.13,0.0
0.025,0.0,1,0,1,0,1,25000.000000000004,0xb7f9c4e1668d976db28efad9cb11e4dbba814a9c,0.0,0.0,0.025,0.0
34.47792459332012,0.0,23,0,23,0,12,34477924.59332012,0xd24400ae8bfebb18ca49be86258a3c749cf46853,2434.3337037037036,2655.6367676767677,1.4990401997095704,2.7467662449610075
0.147139,0.0,1,0,1,0,1,147139.0,0x20e4137160461c16e2e02fbdee5075688ce44765,0.0,0.0,0.147139,0.0
0.31,0.0,1,0,1,0,1,310000.0,0x68fb38560b39b4622ef729a95ebe63f4adabffd1,0.0,0.0,0.31,0.0
0.1,0.0,1,0,1,0,1,100000.00000000001,0x912f069d097e56ff779a53085ff11815abffc43b,0.0,0.0,0.1,0.0
0.21,0.0,1,0,1,0,1,210000.0,0x8af04bcdc5ef639c21fd94b0c7dd5e8bc3abfca9,0.0,0.0,0.21,0.0
