from_address,to_address,value_eth,timestamp,block_number,root_address,label
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,0x6a14e385fff2f21abe425a07ce29842b7037a80d,10000.0,1500504285,4045858,0xb3764761e297d6f121e79c32a65829cd1ddb4d32,phishing
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,0x6a14e385fff2f21abe425a07ce29842b7037a80d,10000.0,1500504285,4045858,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x6a14e385fff2f21abe425a07ce29842b7037a80d,0xe0cfaf2ee68466aacc3594bd2cda536389a0a230,2000.0,1623160044,12594244,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x6a14e385fff2f21abe425a07ce29842b7037a80d,0x7106e373f8cecf7cb0a720fc4044db80863d44c2,200.0,1624830252,12718581,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x6a14e385fff2f21abe425a07ce29842b7037a80d,0x1afa4ac47a8a57da0d76fa02acea50b594146ccb,300.0,1624830367,12718586,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x6a14e385fff2f21abe425a07ce29842b7037a80d,0x33f244667dc63990092143809f36c7cebd5e248d,300.0,1624875488,12721928,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x6a14e385fff2f21abe425a07ce29842b7037a80d,0x66febd02a5c97b6ddad47d21aa83ab7892f3d40a,35.0,1647205032,14380559,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x6a14e385fff2f21abe425a07ce29842b7037a80d,0xc49d5615ee74085baf68090f64c724d8c6f347e9,50.0,1647205516,14380588,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x6a14e385fff2f21abe425a07ce29842b7037a80d,0x17f2b6eaba7e2d56aafa20318b80e06c42d94771,0.783041824237,1647206222,14380638,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x6a14e385fff2f21abe425a07ce29842b7037a80d,0x92446eb937ec98842a146021002f605fdabbe9d9,1000.0,1647255403,14384310,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0xd690758a425ed7b2e3a225c2b40bc65300c67d4f,0x6a14e385fff2f21abe425a07ce29842b7037a80d,0.0,1651360894,14688459,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x9244636aa76e1de85661a0cdac8cd7aa9c53e9d9,0x6a14e385fff2f21abe425a07ce29842b7037a80d,9.99e-16,1735081871,21475523,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x6fa35c5b8661041e6360f385a5cffb7ade6ffc8a,0x6a14e385fff2f21abe425a07ce29842b7037a80d,7.77e-07,1742028419,22051176,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a,0x6a14e385fff2f21abe425a07ce29842b7037a80d,0.0,1746319091,22406881,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a,0x6a14e385fff2f21abe425a07ce29842b7037a80d,0.0,1746323243,22407223,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a,0x6a14e385fff2f21abe425a07ce29842b7037a80d,0.0,1746327743,22407596,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a,0x6a14e385fff2f21abe425a07ce29842b7037a80d,0.0,1746332219,22407965,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a,0x6a14e385fff2f21abe425a07ce29842b7037a80d,0.0,1746336707,22408337,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a,0x6a14e385fff2f21abe425a07ce29842b7037a80d,0.0,1746341219,22408711,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a,0x6a14e385fff2f21abe425a07ce29842b7037a80d,0.0,1746345719,22409081,0x6a14e385fff2f21abe425a07ce29842b7037a80d,phishing
