eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
0.10300000000000001,0.0057122665,2,1,3,0x9e4fa5ad6c4d6598e4d1657ae4a2b10bee624529
0.09582199291596818,0.12800000000000003,14,6,20,0x6b78fd759d975e1ab7a28f5e5abac39c2ab1dd33
0.025,0.0,4,0,4,0xaa5ebfb6a8dd06a4bff8ec1997fae6777efd985c
0.0,1364.0997264756643,0,2377,2377,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
0.0,0.0,0,1,1,0x4c1df8d2e9bdea077b9cc99b973113075d65aa5c
0.0,51.37316875264784,0,175,175,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e
0.0,0.0,0,1,1,0x276e84edc5bd94731b65c207dc1512fc5391572f
0.0,0.0,0,3,3,0x2b81945875f892aff04af0a298d35fb2cf848c7b
0.0,0.036,0,2,2,0x2e4a3b6dd688b435a6f667d665016b535a76d4d4
0.0,0.0033897264159682,0,1,1,0xd6479f90907b8d4cea882441be64df13f3147503
2.711179,2.390353,26,19,45,0x5e809a85aa182a9921edd10a4163745bb3e36284
0.0,370.9676023162886,0,581,581,0x111111125421ca6dc452d289314280a0f8842a65
0.0,0.0,0,5741,5741,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
