eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
8.2,0.0,1,0,1,0x9343ccce0960ccd9a3f4de7aa27ae53a99ee2717
2.52487595,0.0,1,0,1,0x98706b0013ba6220509278f29447a34ee21be120
15.706526882,15.027431949999999,19,7,26,0x6ddfef85ecf643628254e5af7064e05b3c6b221e
3.3,0.060000000000000005,1,2,3,0xc223b3864e93b388fb985ff51c6b065e60c2f62f
1.0,0.0,1,0,1,0xca79c583a5e7b9884f18c9ac6b826d1ac9a3d4dd
0.002556,0.0046552317513046,3,2,5,0x0b96e2c579e672e5f89dc1bdc6208de94abe5fa1
0.0,0.0,0,8,8,0x5a84969bb663fb64f6d015dcf9f622aedc796750
0.0,0.0,0,92,92,0xa74476443119a942de498590fe1f2454d7d4ac0d
0.0,9.648952486863028,0,5,5,0xcd6b7048d1c42cfeb97b53822bbd6be9913bdc89
0.0,2.66,0,1,1,0xeccd7e34a22a4bdd34e24adf8b82d4c55d54e6ad
0.0,0.02,0,4,4,0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0.0,5.275,0,2,2,0x8ea9becd05532041b500d37a5c339728d5fa932c
19.004542119751306,4.817929037,139,34,173,0x40b942240fec55473388cbf7dbcc5482e64b4367
0.0,2.389874,0,6,6,0x6072a73edceda435d25d5e067be1776a9c8027eb
0.0,0.0,0,97,97,0xd26114cd6ee289accf82350c8d8487fedb8a0c07
