eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,in_degree,out_degree,sent_received_ratio,address,account_age_days,avg_time_diff_hours,avg_tx_value,std_dev_tx_value
28.153805924041784,0.0,4,0,4,0,1,28153805.924041785,0xc20064aff1268ca708531fed0380dbd6ce20d286,0.005543981481481481,0.04435185185185185,7.038451481010446,6.42455785916638
8.0,0.0,1,0,1,0,1,8000000.0,0x9a6dff91c9008af76e802d3892c3b920d46a341d,0.0,0.0,8.0,0.0
0.30000000000000004,0.0,2,0,2,0,1,300000.00000000006,0x34239be89ba2185e36a00eb8834409898006d071,0.023530092592592592,0.5647222222222222,0.15000000000000002,0.07071067811865477
0.99934539,0.0,1,0,1,0,1,999345.39,0x5d9de65c5d76eff63a3f0bf979709e65c93ed8df,0.0,0.0,0.99934539,0.0
1.0,0.0,1,0,1,0,1,1000000.0,0x3d930ed43581c23f220f13022be9533d61a2152d,0.0,0.0,1.0,0.0
0.25,0.0,1,0,1,0,1,250000.0,0xe160ed95a3339f577f04bf37cd3b5c7f7d8e306c,0.0,0.0,0.25,0.0
3.0,0.0,1,0,1,0,1,3000000.0,0x94de12963cc2324a8fb5373a297bee217b798320,0.0,0.0,3.0,0.0
5.52,0.0,2,0,2,0,1,5520000.0,0x437b040c2993f4242c4235f47a3623eb922f024a,0.012511574074074074,0.30027777777777775,2.76,0.7636753236814711
0.575,0.0,1,0,1,0,1,575000.0,0xaaad8b2d131a7aedfd51defc6e4a77dd819700aa,0.0,0.0,0.575,0.0
1.0,0.0,1,0,1,0,1,1000000.0,0x1930ebba9adb0b20787d79af4074de118dcbf305,0.0,0.0,1.0,0.0
0.1945,0.0,1,0,1,0,1,194500.00000000003,0x5689cfe43e7bab4e08c2c4f397b23df0c4fbba7f,0.0,0.0,0.1945,0.0
0.16,0.0,1,0,1,0,1,160000.0,0x2d752dc45aa769140736133c698dd2c949ee5647,0.0,0.0,0.16,0.0
0.11,0.0,1,0,1,0,1,110000.0,0xbc33e372c385e44987eec4afc0397e8aaa3eaeb7,0.0,0.0,0.11,0.0
49.261769314041786,49.46265131404178,2,19,21,14,2,0.995938693325126,0x7098c7113c2ecaf48baad07e598c74c2689a5795,1.1269328703703703,1.3523194444444446,4.701162887051599,10.620339575591347
0.2,0.0,1,0,1,0,1,200000.00000000003,0x35154acf33b4305dbe593f6fceaf1a8a93fab9a5,0.0,0.0,0.2,0.0
0.0,233.36809378669253,0,8,8,5,0,0.0,0x4e17b2e4ad1be0bf08310c6da07b06f750b9e49c,11.287962962962963,38.7015873015873,29.171011723336566,28.336540196887775
0.0,1.2617693140417825,0,1,1,1,0,0.0,0xf238eb51e5dc9b3f5537631669660b1fa93b76b1,0.0,0.0,1.2617693140417825,0.0
