from_address,to_address,value_eth,timestamp,block_number,root_address,label
0xe20e54be6a82079632fb73d477d0f9720678db20,0x72281a602539d2e31a1129dee7d26c4960c8f787,0.0150215760767457,1753958063,23038521,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x957c7fa189a408e78543113412f6ae1a9b4022c4,0.0,1754031143,23044561,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754031203,23044566,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0xf3ae5d769e153ef72b4e3591ac004e89f48107a1,0.0,1754032391,23044665,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754032463,23044671,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754032547,23044678,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x81ba3931816759d3fbb4a98a448a0dfdcd2a89bc,0.0,1754033447,23044753,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754033483,23044756,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754033615,23044767,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754033963,23044796,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754034323,23044826,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754036591,23045013,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754038775,23045195,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0xe9689028ede16c2fdfe3d11855d28f8e3fc452a3,0.0,1754042843,23045530,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754042903,23045535,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0xc092a137df3cf2b9e5971ba1874d26487c12626d,0.0,1754043371,23045574,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754043515,23045586,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754049455,23046078,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
0x72281a602539d2e31a1129dee7d26c4960c8f787,0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,0.0,1754049503,23046082,0x72281a602539d2e31a1129dee7d26c4960c8f787,legitimate
