eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
0.0128747361561832,0.0,1,0,1,0xb9e34c35fb5f8b3930e4a0f0b2463de2424cd052
5.724828860020963,3.67047873893409,41,8,49,0x77a7677040522428c0848dcd45e4e86f75cd42e7
261.08561597000005,0.0,308,0,308,0xdfd5293d8e347dfe59e90efd55b2956a1343963d
2.067416944777907,0.0,4,0,4,0xe7a4e0ed42be20338fca2932736f1a5b22f489a4
1.390587058,0.0,1,0,1,0xf4a9b12ad883442f1c9b4b32234b538b79572e8c
0.0,323.0880747361562,0,30,30,0xd01607c3c5ecaba394d8be377a08590149325722
0.0,3.9775,0,11,11,0xcfc6d9bd7411962bfe7145451a7ef71a24b6a7a2
0.0,0.0,0,62,62,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee
0.0,0.001,0,3,3,0x739a1effaddb0b07ef1284598819232df4fd8d16
0.0,337.8972858409919,0,79,79,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
0.0,0.0,0,44,44,0x858646372cc42e1a627fce94aa7a7033e7cf075a
0.0,0.0,0,55,55,0x39053d51b77dc0d36036fc1fcc8cb819df8ef37a
0.0,0.0,0,14,14,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8
0.0,0.0,0,402,402,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2
0.0,0.0,0,2,2,0x9aa79c84b79816ab920bbce20f8f74557b514734
0.0,30.700020239009493,0,57,57,0x0439e60f02a8900a951603950d8d4527f400c3f1
0.0,0.000153777852370209,0,31,31,0x6db24ee656843e3fe03eb8762a54d86186ba6b64
0.0,44.99722094325196,0,100,100,0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5
0.0,0.0,0,9,9,0xf0bb20865277abd641a307ece5ee04e79073416c
0.0,0.0,0,27,27,0xd45884b592e316eb816199615a95c182f75dea07
0.0,0.0,0,1,1,0x52e523b849c584f86bf460a3cf2962b118ce2506
0.0,0.0,0,38,38,0x35fa164735182de50811e8e2e824cfb9b6118ac2
0.0,0.0,0,51,51,0x26d85a13212433fe6a8381969c2b0db390a0b0ae
0.0,0.0,0,28,28,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae
0.0,0.0,0,11205,11205,0xdac17f958d2ee523a2206206994597c13d831ec7
0.0,0.0,0,5741,5741,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0.0,0.0,0,61,61,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
0.0,0.366,0,1,1,0x8e1827fb51b2e2394bdab6f60b963a633124a037
