eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
129.65836502,0.0,259,0,259,0x4976a4a02f38326660d17bf34b431dc6e2eb2327
3.6678918677119503,3.6786824396729854,89,82,171,0x7ee3aca81b9eeb431740dd351b190a44c0ea31d7
2.388353422396,4.475287680110204,16,34,50,0xd5fbda4c79f38920159fe5f22df9655fde292d47
261.08561597000005,0.0,308,0,308,0xdfd5293d8e347dfe59e90efd55b2956a1343963d
1180.83604998,16032.761666857281,297,237,534,0x28c6c06298d514db089934071355e5743bf21d60
380.81854021000004,0.0,320,0,320,0x21a31ee1afc51d94c2efccaa2092ad1028285549
754.93533307,0.0,221,0,221,0x56eddb7aa87536c09ccc2793473599fd21a8b17f
294.24562943,0.0,240,0,240,0x9696f59e4d72e237be84ffd425dcad154bf96976
0.9535238774767258,4.647498609105796,17,49,66,0x580450dff316ae00d0fbef9621a304020a046ce2
0.0,0.0,0,5741,5741,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0.0,0.4679023636571175,0,2,2,0x74aeb812b9af819d0340c300760ee685241485dc
0.0,0.0,0,11205,11205,0xdac17f958d2ee523a2206206994597c13d831ec7
0.0,1.6358474707178496,0,46,46,0xa9a38bb4d0e27adf245d106887f9bef9113ea874
0.0,1.5641420333369827,0,28,28,0x2fd5ff7d48ea47fe4e836f66b95fbd54d3548684
