eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
0.000855015040483,0.0,1,0,1,0xb6ac2ba875aaf70ee0a6b327769ef5318599eef2
1.4399180008868697,0.33140024763654535,28,13,41,0xbaa9cfe2cfab3eaa9e7fc91602e72f2be0eb72a8
22.989204111604558,9.309445333934022,652,128,780,0x8603faf28a5c9c4cc705dddc1647980db38e4022
11.50042266,0.0,180,0,180,0xeba88149813bec1cccccfdb0dacefaaa5de94cb1
30.349568201292694,0.0567308016996215,279,13,292,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0.0001,0.001186,1,2,3,0xe9cb8a5bd0b8617d5fb7a5c4693793fea414d346
3.5449477918249057,0.0,16,0,16,0xcfc0f98f30742b6d880f90155d4ebb885e55ab33
0.3,0.0,1,0,1,0x2f818aef5284748670ecabfb50749355885b34cf
0.0003629485096773,0.0,1,0,1,0x7b3e4d6d044ec5d286e9ebd1f6984853229143c8
0.0005920492803277,0.0,1,0,1,0xbe9066b8bb6cbb07af758f4b87b71416bb511b22
39.283481600474786,0.10398376396671251,255,71,326,0x264bd8291fae1d75db2c5f573b07faa6715997b5
2.016544000000001,5.328454000000153,8,17,25,0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1
0.02822949059738495,0.0,16,0,16,0xb42f812a44c22cc6b861478900401ee759ebead6
0.6288882099999998,0.4021140074232578,15,17,32,0x2fc617e933a52713247ce25730f6695920b3befe
32.28415299000001,0.0,38,0,38,0x963737c550e70ffe4d59464542a28604edb2ef9a
3.6009347903905224,0.0,68,0,68,0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d
10.521339549,0.19466708439962802,79,12,91,0xcbd6832ebc203e49e2b771897067fce3c58575ac
0.1038005665772645,0.0,2,0,2,0xe80b97934b05ea76a6be7eaa0f0684556699b0e3
0.0,0.0,0,14,14,0x4976fb03c32e5b8cfe2b6ccb31c09ba78ebaba41
0.0,0.0011659491227928,0,1,1,0xb3bd51f4f8e3a61630b1fddbe3c3d22ba41a22b4
0.0,0.0,0,28,28,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85
0.0,0.0,0,8,8,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e
0.0,0.0,0,11205,11205,0xdac17f958d2ee523a2206206994597c13d831ec7
0.0,0.0,0,5741,5741,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0.0,1364.0997264756643,0,2377,2377,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
0.0,0.0,0,1,1,0xa2846817e33fcd4e761579cbb53722254f38a438
0.0,0.0,0,207,207,0x6b175474e89094c44da98b954eedeac495271d0f
0.0,15.14599490211477,0,242,242,0xa5f565650890fba1824ee0f21ebbbf660a179934
0.0,0.276,0,2,2,0xbce44616d96ba1659fac008ed3d9f171f67d254e
0.0,0.683572,0,56,56,0x00005ea00ac477b1030ce78506496e8c2de24bf5
0.0,0.0,0,2,2,0x8fa0c515423052b393426cdc4582daa0898a6849
0.0,0.0,0,147,147,0x0000000000c2d145a2526bd8c716263bfebe1a72
0.0,0.0,0,1,1,0xba18bee1359d6a40f7b618627416eb13359a7669
0.0,111.88569603223301,0,972,972,0x0000000000000068f116a894984e2db1123eb395
0.0,79.06316259879999,0,260,260,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
0.0,0.0,0,3,3,0xef5e3e60bd031498318ac97cf55db74357256282
0.0,0.0,0,3,3,0x83c51328bbac23a915433221a863cf79b55be2c0
0.0,0.0,0,5,5,0x68bd8b7c45633de6d7afd0b1f7b86b37b8a3c02a
0.0,0.0,0,1,1,0x232765be70a5f0b49e2d72eee9765813894c1fc4
0.0,0.0,0,2,2,0x1bb5907cab3aa9c20c6d582a750b82c808f6eeb8
0.0,0.0,0,3,3,0x0074c3db008c00000020733a003f000a93ad00fd
0.0,0.0,0,2,2,0x3bf1bcd0fd4845a64e0ca3261833a9a64d57a67c
0.0,0.0,0,2,2,0x9674739124d69d555712a30e0a44de648f494219
0.0,0.219,0,3,3,0xfdc602bfaec933e092bbd7d59554d72b14c30995
0.0,342.2253157085877,0,1408,1408,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0.0,137.97050000102,0,113,113,0x0000000000a39bb272e79075ade125fd351887ac
0.0,0.0,0,18,18,0xb8ea78fcacef50d41375e44e6814ebba36bb33c4
0.0,370.9676023162886,0,581,581,0x111111125421ca6dc452d289314280a0f8842a65
0.0,323.0880747361562,0,30,30,0xd01607c3c5ecaba394d8be377a08590149325722
0.0,0.0,0,14,14,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8
0.0,0.15,0,1,1,0xe40f3d5a41a61272d328fca783ce7300e4d7439b
0.0,0.3,0,6,6,0xb3d64505ee3c33de1fcb4972b10ce27617930ab6
0.0,71.69771557070139,0,931,931,0x0000000000001ff3684f28c67538d4d072c22734
0.0,0.0,0,84,84,0x4d224452801aced8b2f0aebe155379bb5d594381
0.0,0.11,0,1,1,0x81f7358007e866e625b3ee7c4fbd3bf0564d6c46
0.0,0.0,0,2,2,0x28d38df637db75533bd3f71426f3410a82041544
0.0,0.000402893261416013,0,13,13,0xaaaaaaae92cc1ceef79a038017889fdd26d23d4d
0.0,0.0,0,3,3,0xc9d198089d6c31d0ca5cc5b92c97a57a97bbfde2
0.0,0.19196551680078983,0,5,5,0xce16f69375520ab01377ce7b88f5ba8c48f8d666
0.0,0.5670888033932842,0,9,9,0x1948228bfa35bbfaf636e2965af9b183297d572c
0.0,383.1798895123511,0,2075,2075,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
