eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,in_degree,out_degree,sent_received_ratio,address,account_age_days,avg_time_diff_hours,avg_tx_value,std_dev_tx_value
130.00468,0.0,4,0,4,0,4,130004680.00000001,0x4e7b110335511f662fdbb01bf958a7844118c0d4,52.96930555555556,423.75444444444446,32.50117,64.280185591797
14.49334859824067,2.7374,36,8,44,5,14,5.294565391859165,0x8f9eff97151a11b6ecdcdfca845b084cd881ae4b,862.9556944444445,481.6496899224806,0.39160792268728795,1.3295696893559188
0.6805293600000001,0.0,4,0,4,0,4,680529.3600000001,0xe95f6604a591f6ba33accb43a8a885c9c272108c,76.0075,608.06,0.17013234,0.2521789668776966
281.1563494699999,0.0,52,0,52,0,31,281156349.4699999,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,760.8188888888889,358.0324183006536,5.406852874423077,27.840180811193758
443.4285291300001,0.0,58,0,58,0,33,443428529.1300001,0xa7efae728d2936e78bda97dc267687568dd593f3,1181.7340509259259,497.5722319688109,7.645319467758621,46.024778694090415
575.2224600000002,0.0,51,0,51,0,27,575222460.0000002,0xbf94f0ac752c739f623c463b5210a7fb2cbb420b,846.4905555555556,406.3154666666666,11.278871764705881,69.91198242057766
0.0,14.57229928380384,0,58,58,20,0,0.0,0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,374.8123611111111,157.81573099415206,0.2512465393759283,0.6458947355660868
0.0,31.86207994344446,0,87,87,39,0,0.0,0x32400084c286cf3e17e7b677ea9583e60a000324,807.9234722222222,225.46701550387596,0.3662308039476374,0.7785093682535646
0.0,12.154125391000003,0,17,17,1,0,0.0,0xf8539b917c797f8c45059876886f2d9299e2321d,346.6923611111111,520.0385416666667,0.7149485524117649,2.097187430051726
0.0,10.807937459175747,0,43,43,20,0,0.0,0xd19d4b5d358258f05d7b411e21a1460d11b0876f,743.2572222222223,424.7184126984127,0.25134738277152907,0.3177033117825189
0.0,0.683572,0,56,56,19,0,0.0,0x00005ea00ac477b1030ce78506496e8c2de24bf5,956.84875,417.534,0.012206642857142859,0.020602613811604824
0.0,0.0,0,1,1,1,0,0.0,0x9ce45203105c49b3c0f3b682174fc11d8e4b614f,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x6b648193d7f60e92fed20b2f0ce821897361951a,0.0,0.0,0.0,0.0
0.0,26.80538,0,12,12,5,0,0.0,0x5ebc127fae83ed5bdd91fc6a5f5767e259df5642,287.3979166666667,627.05,2.2337816666666663,2.702082814594002
0.0,0.0,0,1,1,1,0,0.0,0xa018558ab1830c00b5cba3e31e74a2d073858fe8,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x8c77693dde353a401898c8d29971976c642229ba,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xe75dd228a57a362eb7073244af4487c2d05db2fe,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x3d9bbdc28cdf0fc3fafe822a205f9852cdf5d1d8,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xf8ff821e5fc04eb9db2f00eaf83bc63e7818305b,0.0,0.0,0.0,0.0
0.0,0.00974,0,1,1,1,0,0.0,0x3e62e2914db1a5ecab53facfb4ef93a5bbd76c40,0.0,0.0,0.00974,0.0
