eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
215.30480013,0.0,48,0,48,0xd551234ae421e3bcba99a0da6d736074f22192ff
15.675105238208673,4.047736745248949,342,51,393,0xbe6aca3decc4b7e756addf8f24a174f5596ae1a8
113.23443336,0.0,40,0,40,0x564286362092d8e7936f0549571a803b203aaced
1.131092797459822,0.2589258468332738,21,11,32,0x160f713d638f7c849f807b97c6b71a3581b01dc3
0.051563696,0.0,1,0,1,0x417c058bb654d672f65686753d31466a3fc31504
0.0165609263605314,0.0,1,0,1,0x7da582385d10e5ff808b5ca86efdfa98dc85e2de
380.81854021000004,0.0,320,0,320,0x21a31ee1afc51d94c2efccaa2092ad1028285549
294.24562943,0.0,240,0,240,0x9696f59e4d72e237be84ffd425dcad154bf96976
0.741959267124385,0.1524698867056394,3,2,5,0x050d68c8078e46ca57c9c2bff589be2db1440040
0.119205422974829,0.0,1,0,1,0xf2c93c4fe4306b9d788275fda3c56a2d549ea97c
0.0743327515063651,0.078993,1,1,2,0xaa94b125c2562fc188f33c27e50c5405c6ca6946
443.4285291300001,0.0,58,0,58,0xa7efae728d2936e78bda97dc267687568dd593f3
0.0157190709834847,0.0,1,0,1,0x752a85ff94a2169edca2493c08b3bcb7dd5c876a
0.49190100999999997,0.0,4,0,4,0x4b4e14a3773ee558b6597070797fd51eb48606e5
5.4544010000000025,11.700957000000605,25,67,92,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8
281.1563494699999,0.0,52,0,52,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840
2785.09719086,88.48972635484162,110,198,308,0xf89d7b9c864f589bbf53a82105107622b35eaa40
174.90205128999995,0.0,95,0,95,0x0d0707963952f2fba59dd06f2b425ace40b492fe
13.34171331333068,317.70315141139173,91,84,175,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88
0.6288882099999998,0.4021140074232578,15,17,32,0x2fc617e933a52713247ce25730f6695920b3befe
30.349568201292694,0.0567308016996215,279,13,292,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0.0,0.0,0,11205,11205,0xdac17f958d2ee523a2206206994597c13d831ec7
0.0,0.02,0,29,29,0x111111125434b319222cdbf8c261674adb56f3ae
0.0,0.0,0,207,207,0x6b175474e89094c44da98b954eedeac495271d0f
0.0,1091.941335759052,0,5480,5480,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0.0,0.0,0,4,4,0xb91b439ff78531042f8eaaecaa5ecf3f88b0b67c
0.0,4.676071590936552,0,2,2,0x75116bd1ab4b0065b44e1a4ea9b4180a171406ed
0.0,0.0,0,4,4,0x0000000000004946c0e9f43f4dee607b0ef1fa1c
0.0,4.934004,0,2,2,0xfca5824f4af29f9509855bc31c7ec8d93a8d63ca
0.0,0.0,0,5741,5741,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0.0,0.0,0,5,5,0x8c412a045dd7546f7f44fec5fcaf1f38ca10e66b
0.0,0.0,0,3,3,0xe295ad71242373c37c5fda7b57f26f9ea1088afe
0.0,0.0,0,115,115,0x111111111117dc0aa78b770fa6a738034120c302
0.0,0.0,0,6,6,0x2c6264619d2f598a003d1c857e46edb95b22c75c
0.0,0.0,0,4,4,0x94bc2a1c732bcad7343b25af48385fe76e08734f
0.0,0.0,0,6,6,0x9509665d015bfe3c77aa5ad6ca20c8afa1d98989
0.0,34.39571388986319,0,455,455,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0.0,0.0,0,1,1,0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0
0.0,0.0,0,3,3,0xa09d1afae21bda81c06fd6de9bbd7c7ed7b6dfb1
0.0,0.0,0,10,10,0xa0446d8804611944f1b527ecd37d7dcbe442caba
0.0,0.0,0,2,2,0x302a6eda4e2b2c563a80cc17bd80a1251b986677
0.0,0.052309828984634,0,1,1,0x5e7e51a5688e06e07b3bc0145e8ac44a2ed05cd7
0.0,285.76097099438874,0,879,879,0x881d40237659c251811cec9c364ef91dc08d300c
