from_address,to_address,value_eth,timestamp,block_number,root_address,label
0xe87283b3ab0ea5501204e66692a5b04f7e905a49,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,0.203749606,1503313030,4185593,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0xcff6d13f98dea9878e8d0294cab49b64c0212dda,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,0.92,1504011251,4216399,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0x8c728e0397efa25fbb8dd863c7431110ab5d84bc,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,0.5226704752,1504011751,4216421,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0x553f331b4ae9343f6ae1fec02cf06ef47235711c,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,1.3,1504011751,4216421,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0xad1f2feb72f8ad2f787651a2bd79ea42d564bc3e,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,0.9,1504012412,4216450,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,35.31231916,1504013280,4216481,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0x7ed1e469fcb3ee19c0366d829e291451be638e59,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,2.0,1504015579,4216581,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0x5aae562316607fa5af3b1b871251dd16c00f8252,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,1.0,1504015984,4216597,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0xd85def7273dc40a529fce52ac17af0d498b61300,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,1.0,1504016274,4216610,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0xcd1453bc1b1dcc581b1189a8a838f8d74cdfd887,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,1.5,1504016500,4216620,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,28.15362071,1504016615,4216623,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0x4c834b469efa778f571711d2a3b0f017d73d57a6,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,1.1,1504016775,4216627,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,3.0,1504017984,4216677,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,1.3683253,1504020692,4216784,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0xc7a7a72e7ff96e139a378c707e4c511c15b30716,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,37.0,1504024550,4216933,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,0x64ebc9292d640363a30f17c4183d7ce3ac7fbf61,115.28,1506420218,4312959,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,phishing
