eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,address
281.1563494699999,0.0,52,0,52,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840
12.534693091226934,7.131237068784963,39,6,45,0xcc6b25befc55efd7fa13dbb10d6225c74338c22d
0.005,0.0,1,0,1,0x8f37db8ed9a136ca9536155333322b1dabd4a16a
575.2224600000002,0.0,51,0,51,0xbf94f0ac752c739f623c463b5210a7fb2cbb420b
0.02152,0.0,1,0,1,0xfe908731af54c56dfd63948f18ce5878a3b8a1ad
30.349568201292694,0.0567308016996215,279,13,292,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0.0,31.86207994344446,0,87,87,0x32400084c286cf3e17e7b677ea9583e60a000324
0.0,5.331,0,1,1,0x952dae4616a4b4362f7ed8eb0cb7849eb32f7a13
0.0,0.0,0,7,7,0xb58a659eee982fe4e6ce0c2c37ebd0f7e8224d7e
0.0,0.0,0,21,21,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb
0.0,0.0,0,6,6,0x94fdc38c4a8e34248f8dd19cb3336e0295227023
0.0,0.0,0,12,12,0xabd4c63d2616a5201454168269031355f4764337
0.0,10.807937459175747,0,43,43,0xd19d4b5d358258f05d7b411e21a1460d11b0876f
0.0,383.1798895123511,0,2075,2075,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
0.0,0.0,0,5741,5741,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0.0,0.0,0,2,2,0xe5d5e5891a11b3948d84307af7651d684b87e730
0.0,0.0,0,1074,1074,0x93a2db22b7c736b341c32ff666307f4a9ed910f5
0.0,0.0,0,11205,11205,0xdac17f958d2ee523a2206206994597c13d831ec7
0.0,0.3454014678489633,0,24,24,0xeeeeee9ec4769a09a76a83c7bc42b185872860ee
0.0,0.000402893261416013,0,13,13,0xaaaaaaae92cc1ceef79a038017889fdd26d23d4d
0.0,2.9641095451748845,0,25,25,0xf5042e6ffac5a625d4e7848e0b01373d8eb9e222
0.0,0.00021965867559508301,0,18,18,0xbbbfd134e9b44bfb5123898ba36b01de7ab93d98
0.0,285.76097099438874,0,879,879,0x881d40237659c251811cec9c364ef91dc08d300c
0.0,0.0,0,3,3,0xbcca60bb61934080951369a648fb03df4f96263c
0.0,0.0,0,101,101,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3
0.0,342.2253157085877,0,1408,1408,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0.0,0.0,0,51,51,0x26d85a13212433fe6a8381969c2b0db390a0b0ae
0.0,111.88569603223301,0,972,972,0x0000000000000068f116a894984e2db1123eb395
