eth_sent,eth_received,num_sent_txs,num_received_txs,total_txs,in_degree,out_degree,sent_received_ratio,address,account_age_days,avg_time_diff_hours,avg_tx_value,std_dev_tx_value
1.0094738286689855,0.1887,105,5,110,3,77,5.349594483701652,0xd6a173f1d8c3f5771b761eff74cf76e31f64e70d,680.0411111111111,149.7338226299694,0.01089248935153623,0.04290735248631588
0.1837,0.0,1,0,1,0,1,183700.0,0xc469255e0660d2077ac3c3061085b36199e25f38,0.0,0.0,0.1837,0.0
0.00504017914326958,0.0,3,0,3,0,2,5040.17914326958,0x9146bc6960a81ce3e60d3a0b51d8a503747c56ef,447.7986111111111,5373.583333333333,0.0016800597144231934,0.0028752228114939764
0.0,0.0,3,0,3,0,1,0.0,0x2ccb8e4e82127f70db04cd5c3c20131931f289e5,0.004166666666666667,0.05,0.0,0.0
26.147738867226533,12.380129827875413,401,120,521,47,145,2.1120729038138784,0x449954c7512f6e89757da57e5f4f1c1b7d3765fc,1226.9998726851852,56.84941495066495,0.07394984394453348,0.14368930050931086
0.0,0.0,0,1,1,1,0,0.0,0xa7b9c5050dba13096255763556aa14d3586497c9,0.0,0.0,0.0,0.0
0.0,0.0,0,40,40,10,0,0.0,0x495f947276749ce646f68ac8c248420045cb7b5e,1523.8658564814814,937.763603988604,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x45c233075e9d17c4399ac2dcdce1c0567c050b66,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x922dc160f2ab743312a6bb19dd5152c1d3ecca33,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x66018a2ac8f28f4d68d1f018680957f2f22528da,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xb00e27f33adbdc7d3e57c52f540f2e4abf8c7c79,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xf7016313b51c73092450a226fa7c4b3bb9da0dbe,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x3a29f9f90ea83893b70ed7725afab758d9779acb,0.0,0.0,0.0,0.0
0.0,0.000777,0,2,2,2,0,0.0,0xa5358a17f943f9fb20d1f8dcf5ed9a9770bb0698,106.125,2547.0,0.0003885,0.0005494219689819474
0.0,0.3030720930631918,0,2,2,1,0,0.0,0x12bcd2cc3a10461f48d4f7b14ed41716ebe7a39c,129.66930555555555,3112.0633333333335,0.1515360465315959,0.04884134539573121
0.0,0.0,0,3,3,2,0,0.0,0x4ca4d3b5b01207ffce9bea2db9857d4804aa89f3,823.1986111111111,9878.383333333333,0.0,0.0
0.0,0.0,0,2,2,2,0,0.0,0x3edf71a31b80ff6a45fdb0858ec54de98df047aa,655.7076388888889,15736.983333333334,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xf7f02f28976a2e938224d4cf759ee6e7e788c6e3,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x27a4e7d642cdc809f3ee2a39cef3013f0cdfab9c,0.0,0.0,0.0,0.0
0.0,0.0,0,2,2,2,0,0.0,0x2dec96736e7d24e382e25d386457f490ae64889e,367.1297222222222,8811.113333333333,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x1b23d0f0f6dc3547c1b6945152acbfd6eaad85b0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x2be28a87fe249a1190ed51cda47fe2f7999528c3,0.0,0.0,0.0,0.0
0.0,0.0,0,2,2,2,0,0.0,0xbd494f7450aba56d7207b1f35b8b2de6622fd7b8,228.39319444444445,5481.4366666666665,0.0,0.0
0.0,0.2165,0,1,1,1,0,0.0,0xa0237870d237babbdf061c9ca1ad801d27caf530,0.0,0.0,0.2165,0.0
0.0,0.48990173560579375,0,5,5,1,0,0.0,0xa18ddadad6f3122c9dc447386f9fa642d01bdfaf,420.82125,2524.9275,0.09798034712115875,0.09587628429152291
0.0,0.0,0,3,3,2,0,0.0,0xa9fdb3f96fae7c12d70393659867c6115683ada0,446.2415277777778,5354.8983333333335,0.0,0.0
0.0,0.0,0,3,3,3,0,0.0,0x75afa588cc4e97736bf51e3bb542252fbd6b879f,456.99305555555554,5483.916666666667,0.0,0.0
0.0,0.0,0,6,6,4,0,0.0,0xdcb1cdfe2b5f592e7bdc2696b7a68c6e866c4cc2,1079.3290972222221,5180.779666666667,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xe07fb2dbe2f4866f837f6a9886ee16adc377fc82,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x57d819152a8bc86d097fed1dcaa6259b5380a4b1,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xad628a5515a1ee56088ac188633e2aeeaae474d6,0.0,0.0,0.0,0.0
0.0,0.0,0,4,4,3,0,0.0,0x7ab2352b1d2e185560494d5e577f9d3c238b78c5,1355.5315856481482,10844.252685185185,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xbb3d13260b3f6893ace34a4284be70eccf4cc0f1,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xd3cd44f07744da3a6e60a4b5fda1370400ad515b,0.0,0.0,0.0,0.0
0.0,0.0,0,3,3,2,0,0.0,0x219b8ab790decc32444a6600971c7c3718252539,324.8701388888889,3898.4416666666666,0.0,0.0
0.0,0.0,0,2,2,2,0,0.0,0xc3cd69649394bf1a18a7a0c7f90e4d0e4f1a9758,507.2109722222222,12173.063333333334,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xca21d4228cdcc68d4e23807e5e370c07577dd152,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xf5e92d46e5931e459732d331883dc14eb66ab01d,0.0,0.0,0.0,0.0
0.0,0.5,0,4,4,3,0,0.0,0x7deb7bce4d360ebe68278dee6054b882aa62d19c,1010.9181018518518,8087.3448148148145,0.125,0.25
0.0,0.0,0,1,1,1,0,0.0,0x672664ccad533401066ebb70361c93c4ca567de0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x32edd2f7437665af088347791521f454831aaa29,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0x6fbf793f18449f70638b95ae13f4ac2cb48febc0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xfc75e9917c578a0cdd2f2c6cbb519fe4d247971e,0.0,0.0,0.0,0.0
0.0,111.88569603223301,0,972,972,52,0,0.0,0x0000000000000068f116a894984e2db1123eb395,491.39694444444444,12.145753518709235,0.11510874077390226,0.5899076453301908
0.0,342.2253157085877,0,1408,1408,101,0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2570.0885763888887,43.839463989575925,0.2430577526339401,1.0409589884521075
0.0,0.0,0,1,1,1,0,0.0,0x7037843d739d846cdce3a6839a80f7d70b60b99a,0.0,0.0,0.0,0.0
0.0,0.0,0,2,2,2,0,0.0,0x0fb69d1dc9954a7f60e83023916f2551e24f52fc,343.69458333333336,8248.67,0.0,0.0
0.0,0.0,0,2,2,2,0,0.0,0x3a3b0dbdc0f6bc77421dcd2f55cfa087b0db9aec,236.87875,5685.09,0.0,0.0
0.0,0.0,0,1,1,1,0,0.0,0xd4296688906664c2c2329d2198a8716a2b8e6661,0.0,0.0,0.0,0.0
0.0,0.0,0,3,3,3,0,0.0,0xac5aeb3b4ac8797c2307320ed00a84b869ab9333,771.1198611111112,9253.438333333334,0.0,0.0
