from_address,to_address,value_eth,timestamp,block_number,root_address,label
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.01272114,1753886351,23032592,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.12604259,1753886411,23032597,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.02529131,1753886819,23032631,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.15022608,1753887167,23032660,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.35088211,1753888319,23032753,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.06438872,1753888559,23032773,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.13041956,1753890323,23032919,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.13041199,1753890467,23032931,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.03858415,1753891907,23033051,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.1141177,1753891967,23033056,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.47827515,1753893251,23033162,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.26048104,1753893611,23033192,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.52120842,1753893647,23033195,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.07554581,1753893719,23033201,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.02576388,1753893935,23033219,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.0257632,1753893983,23033223,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.05160172,1753894103,23033233,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.05113869,1753894151,23033237,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.05371546,1753894235,23033244,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.10485378,1753894355,23033254,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.49065971,1753894463,23033263,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.15566863,1753894535,23033269,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.08345396,1753894619,23033276,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,2.48110835,1753894715,23033284,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.76440276,1753895195,23033323,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.43318633,1753895459,23033344,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.03558314,1753895855,23033377,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.26454864,1753895951,23033385,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.01753885,1753896071,23033395,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.76779217,1753896407,23033423,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.12457085,1753897391,23033505,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.20035508,1753898027,23033558,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.24976606,1753898627,23033608,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.12805256,1753899899,23033714,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.01918926,1753901975,23033884,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.03068724,1753903763,23034030,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.30238905,1753906655,23034270,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
0x264bd8291fae1d75db2c5f573b07faa6715997b5,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,0.03736959,1753907111,23034307,0xfcdf4235e372b7470cb3d1757ac0132e77117a0d,legitimate
